classifier,params,mean_fit_time,mean_score_time,mean_test_score
SVC,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",1.1972011566162108,0.11550405025482177,0.8548378138191512
SVC,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",8.520702147483826,0.4238006353378296,0.8324717695584555
SVC,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",1.0722928285598754,0.07649962902069092,0.8548378138191512
SVC,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",1.5388959169387817,0.19210400581359863,0.8927735865459849
SVC,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",2.9715013980865477,0.0790942668914795,0.851884363861171
SVC,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",7.273906302452088,0.26749324798583984,0.8374465094713253
SVC,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",2.3316999197006227,0.061399531364440915,0.851884363861171
SVC,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.8706932783126831,0.0928004503250122,0.903183350559779
SVC,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",14.227522611618042,0.05759983062744141,0.8514190083363118
SVC,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",5.237847709655762,0.24389960765838622,0.8374465094713253
SVC,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",18.63851089477539,0.07589974403381347,0.8514190083363118
SVC,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",1.1434987783432007,0.12069692611694335,0.8937016411811867
RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__n_estimators': 100}",1.991199827194214,0.04210195541381836,0.9000751040831506
RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__n_estimators': 200}",3.939198207855225,0.06560056209564209,0.8983660635800741
RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__n_estimators': 300}",6.1387965202331545,0.08640134334564209,0.9002315910474001
RandomForestClassifier,"{'classifier__criterion': 'entropy', 'classifier__n_estimators': 100}",2.345098066329956,0.02870032787322998,0.8978992591018422
RandomForestClassifier,"{'classifier__criterion': 'entropy', 'classifier__n_estimators': 200}",4.279393672943115,0.06320018768310547,0.8983634071655573
RandomForestClassifier,"{'classifier__criterion': 'entropy', 'classifier__n_estimators': 300}",6.274995183944702,0.08740074634552002,0.8999191001033587
